title;shops;catalogue_numbers;manufacturer;description;is_new;price;is_available;delivery_days_from;delivery_days_to;properties;images;compatibility;count
Двигатель Kia Sorento 2,4 G4KE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4ke;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;120000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3164/81169500/myimage.jpg;;1
Двигатель Hyundai IX35 G4KD;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4kd;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;78000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3263/81169599/myimage.jpg;;1
Двигатель Hyundai Solaris 1,6 G4FC;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fc;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;45000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3309/81169645/myimage.jpg;;1
Двигатель Hyundai Solaris 1,4 G4FC;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4fa;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;45000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3483/81169819/myimage.jpg;;1
Двигатель Kia Spectra 1,6 S6D;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;s6d;Kia;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;40000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3565/81169901/myimage.jpg;;1
Двигатель Mitsubishi Lancer 9 1,6 4G18;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;4g18;Mitsubishi;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;38000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3919/81170255/myimage.jpg;;1
BMW 3 e90 N46B20;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;n46b20;BMW;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;100000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3886/81170222/lOuMqmsQCu8.jpg;;1
Двигатель Mitsubishi Lancer X 2.0 4B11;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;4b11;Mitsubishi;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;55000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3959/81170295/myimage.jpg;;1
Двигатель Mitsubishi Outlander 2,4 4B12;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;4b12;Mitsubishi;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;70000;True;0;0;0;https://static-eu.insales.ru/images/products/1/3991/81170327/myimage.jpg;;1
Двигатель Nissan Qashqai 2.0 QR20DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;qe20de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;50000;True;0;0;0;https://static-eu.insales.ru/images/products/1/4168/81170504/myimage.jpg;;1
Двигатель Nissan Almera Classic 1,6 QR16DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;qr16de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;30000;True;0;0;0;https://static-eu.insales.ru/images/products/1/4341/81170677/myimage.jpg;;1
Двигатель Nissan X-Trail 2,5 QR25DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;qr25de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;60000;True;0;0;0;https://static-eu.insales.ru/images/products/1/4940/81171276/myimage.jpg;;1
Двигатель Nissan Tiida 1,6 HR16;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;hr16;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;35000;True;0;0;0;https://static-eu.insales.ru/images/products/1/5362/81171698/myimage.jpg;;1
Двигатель Nissan Teana 2,5 VQ25DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;vq25de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;65000;True;0;0;0;https://static-eu.insales.ru/images/products/1/5635/81171971/myimage.jpg;;1
Двигатель Nissan Teana 2,3 VQ23DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;vq23de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;73000;True;0;0;0;https://static-eu.insales.ru/images/products/1/6965/81173301/myimage.jpg;;1
Двигатель Nissan Qashqai 1,6 HR16DE;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;hr16de;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;45000;True;0;0;0;https://static-eu.insales.ru/images/products/1/7236/81173572/myimage.jpg;;1
Двигатель Nissan Primera 1,8 QG18;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;qg18;Nissan;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;35000;True;0;0;0;https://static-eu.insales.ru/images/products/1/7375/81173711/myimage.jpg;;1
Двигатель Hyundai Tucson 2.0 G4GC;Челябинск, Ленина пр. Д. 26А оф. 1403|+79821124013;g4gc;Hyundai;Двигатель контрактный, есть ГТД ( документы для постановки на учет). Гарантия 1 месяц;False;38000;True;0;0;0;https://static-eu.insales.ru/images/products/1/7527/81173863/myimage.jpg;;1
